,player_id,season,week,player_display_name,position,True rushing_yards,Projected rushing_yards,Average rushing_yards,STD rushing_yards,True rushing_tds,Projected rushing_tds,Average rushing_tds,STD rushing_tds,True rushing_fumbles_lost,Projected rushing_fumbles_lost,Average rushing_fumbles_lost,STD rushing_fumbles_lost,True receiving_yards,Projected receiving_yards,Average receiving_yards,STD receiving_yards,True receiving_tds,Projected receiving_tds,Average receiving_tds,STD receiving_tds,True receptions,Projected receptions,Average receptions,STD receptions,True receiving_fumbles_lost,Projected receiving_fumbles_lost,Average receiving_fumbles_lost,STD receiving_fumbles_lost,True passing_yards,Projected passing_yards,Average passing_yards,STD passing_yards,True passing_tds,Projected passing_tds,Average passing_tds,STD passing_tds,True passing_interceptions,Projected passing_interceptions,Average passing_interceptions,STD passing_interceptions
171,00-0031763,2024,1,DeAndre Carter,WR,0,9.063601266211752,0.0,0.0,0,0.06167457522361994,0.0,0.0,0,0.01531445729128165,0.0,0.0,6,20.91503940595586,0.0,0.0,0,0.12474485599150778,0.0,0.0,1,1.8250066910724168,0.0,0.0,0.0,0.010123087667192587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2358,00-0031941,2024,1,Jamison Crowder,WR,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,5,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,1,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2486,00-0032104,2024,1,Ameer Abdullah,RB,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4673,00-0032211,2024,1,Tyler Lockett,WR,0,10.556801596460831,0.0,0.0,0,0.08041828341531933,0.0,0.0,0,0.01815531506794938,0.0,0.0,77,25.315235239645766,0.0,0.0,0,0.15782800878614323,0.0,0.0,6,2.1628410272030276,0.0,0.0,0.0,0.009468930135474868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4674,00-0032392,2024,1,Austin Hooper,TE,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,31,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,2,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4675,00-0032394,2024,1,Nick Vannett,TE,0,9.063601266211752,0.0,0.0,0,0.06167457522361994,0.0,0.0,0,0.01531445729128165,0.0,0.0,11,20.91503940595586,0.0,0.0,0,0.12474485599150778,0.0,0.0,2,1.8250066910724168,0.0,0.0,0.0,0.010123087667192587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4676,00-0032434,2024,1,Brandon Allen,QB,-1,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,0,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,0,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,168.01269842131362,0.0,0.0,0.0,0.9990610214152421,0.0,0.0,0.0,0.6450737571674326,0.0,0.0
4680,00-0032464,2024,1,Kalif Raymond,WR,12,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4808,00-0032764,2024,1,Derrick Henry,RB,46,9.952669779700994,0.0,0.0,1,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4809,00-0032775,2024,1,Demarcus Robinson,WR,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,42,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,4,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4810,00-0033009,2024,1,Tyler Boyd,WR,0,9.508135522956373,0.0,0.0,0,0.06653628667568098,0.0,0.0,0,0.017050690235226915,0.0,0.0,18,22.52289590346232,0.0,0.0,0,0.1358397207433888,0.0,0.0,3,1.968088722847688,0.0,0.0,0.0,0.010655927836504958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4938,00-0033040,2024,1,Tyreek Hill,WR,0,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,130,24.13075240096878,0.0,0.0,1,0.1469345854952698,0.0,0.0,7,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4939,00-0033045,2024,1,Ezekiel Elliott,RB,40,9.952669779700994,0.0,0.0,1,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,9,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,2,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4940,00-0033077,2024,1,Dak Prescott,QB,3,9.952669779700994,0.0,0.0,0,0.07139799812774203,0.0,0.0,0,0.01878692317917218,0.0,0.0,0,24.13075240096878,0.0,0.0,0,0.1469345854952698,0.0,0.0,0,2.1111707546229592,0.0,0.0,0.0,0.01118876800581733,0.0,0.0,179.0,224.4712415687397,0.0,0.0,1.0,1.4078323863301259,0.0,0.0,0.0,0.753970408129517,0.0,0.0
